title,emulator,download_link
"Ace Combat Advance (Europe) (En Fr De Es It) (Beta)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Ace%20Combat%20Advance%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28Beta%29.zip"
"Action Man - Robot Atak (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Action%20Man%20-%20Robot%20Atak%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"Advance Wars (Europe) (En Fr De Es) (Virtual Console)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Advance%20Wars%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%29%20%28Virtual%20Console%29.zip"
"Advance Wars (Europe) (En Fr De Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Advance%20Wars%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%29.zip"
"Advance Wars 2 - Black Hole Rising (Europe) (En Fr De Es It) (Virtual Console)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Advance%20Wars%202%20-%20Black%20Hole%20Rising%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28Virtual%20Console%29.zip"
"Advance Wars 2 - Black Hole Rising (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Advance%20Wars%202%20-%20Black%20Hole%20Rising%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"Agassi Tennis Generation (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Agassi%20Tennis%20Generation%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"Agent Hugo - Roborumble (Europe) (En Fr De Es It Nl Pt Sv No Da Fi)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Agent%20Hugo%20-%20Roborumble%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%2CPt%2CSv%2CNo%2CDa%2CFi%29.zip"
"Aladdin (Europe) (En Fr De Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Aladdin%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%29.zip"
"Aladdin (USA) (En Fr De Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Aladdin%20%28USA%29%20%28En%2CFr%2CDe%2CEs%29.zip"
"Alex Rider - Stormbreaker (Europe) (En Fr De Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/Alex%20Rider%20-%20Stormbreaker%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%29.zip"
